City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Arawa,PG,1/22/22 22:58,-6.2132,155.5367,85.41,74,31,5.35
236,Port Elizabeth,ZA,1/22/22 22:58,-33.918,25.5701,72.1,83,0,9.22
237,San Quintin,MX,1/22/22 22:58,30.4833,-115.95,62.78,58,0,6.06
238,Lengshuijiang,CN,1/22/22 22:58,27.6881,111.4294,39.18,93,100,4.59
239,Christiana,ZA,1/22/22 22:58,-27.914,25.1611,69.04,33,96,14.5
240,Uyovu,TZ,1/22/22 22:58,-3.2833,31.5258,63.27,96,100,4.76
241,Tura,IN,1/22/22 22:58,25.5198,90.2201,57.72,68,97,3.69
242,Bayir,TR,1/22/22 22:58,37.2687,28.2167,32.52,90,98,10.18
243,Jining,CN,1/22/22 22:58,35.405,116.5814,34.14,90,100,8.21
244,Boa Vista,BR,1/22/22 22:55,2.8197,-60.6733,87.78,48,40,9.22
245,Sulaco,HN,1/22/22 22:58,14.9167,-87.2667,85.44,80,57,5.26
246,Mar Del Plata,AR,1/22/22 22:56,-38.0023,-57.5575,73.42,91,100,0
247,San Patricio,US,1/22/22 22:58,28.017,-97.5169,56.12,42,100,7.38
248,Padang,ID,1/22/22 22:58,-0.9492,100.3543,76.19,89,60,4.05
249,Alice Springs,AU,1/22/22 22:57,-23.7,133.8833,78.35,78,75,10.36
250,Nuuk,GL,1/22/22 22:58,64.1835,-51.7216,14.88,72,100,11.99
251,Tilichiki,RU,1/22/22 22:55,60.4667,166.1,-17.7,85,1,8.19
252,Sorland,NO,1/22/22 22:58,67.667,12.6934,39.94,88,100,27.07
253,Kindersley,CA,1/22/22 22:58,51.4668,-109.1682,35.38,86,100,5.75
254,Georgetown,MY,1/22/22 22:54,5.4112,100.3354,79.9,91,20,0
255,Laurel,US,1/22/22 22:58,39.0993,-76.8483,29.61,40,0,0
256,Kieta,PG,1/22/22 22:58,-6.2167,155.6333,84.81,74,27,7.96
257,General Roca,AR,1/22/22 22:59,-39.0333,-67.5833,82.8,27,0,30.11
258,Saldanha,ZA,1/22/22 22:59,-33.0117,17.9442,87.85,66,72,4.72
259,Severo-Kurilsk,RU,1/22/22 22:59,50.6789,156.125,27.77,73,85,16.69
260,Requena,ES,1/22/22 22:59,39.4883,-1.1004,39.7,87,28,1.74
261,Gisborne,NZ,1/22/22 22:59,-38.6533,178.0042,78.94,60,0,7.34
262,Vryburg,ZA,1/22/22 22:59,-26.9566,24.7284,68.68,28,98,8.88
263,Itarema,BR,1/22/22 22:59,-2.9248,-39.9167,79.72,77,75,10.29
264,Kodiak,US,1/22/22 22:59,57.79,-152.4072,38.71,100,100,0
265,Minab,IR,1/22/22 22:59,27.1467,57.0801,48.52,57,0,0
266,Solnechnyy,RU,1/22/22 22:59,50.7214,136.6319,-14.51,96,28,2.48
267,Emba,KZ,1/22/22 22:59,48.8264,58.1442,-0.99,98,36,5.39
268,Lorengau,PG,1/22/22 22:59,-2.0226,147.2712,81.82,81,97,5.61
269,Kahului,US,1/22/22 22:59,20.8947,-156.47,81.97,72,2,8.99
270,Mwense,ZM,1/22/22 22:59,-10.3845,28.698,65.14,97,90,1.83
271,Yaan,NG,1/22/22 23:00,7.3833,8.5667,79.93,17,14,5.44
272,Ashqelon,IL,1/22/22 23:00,31.6693,34.5715,51.93,66,9,13.2
273,Kailua,US,1/22/22 23:00,21.4022,-157.7394,80.02,71,49,4
274,Tonj,SS,1/22/22 23:00,7.2737,28.6822,75.74,27,100,4.54
275,Ostrovnoy,RU,1/22/22 23:00,68.0531,39.5131,13.66,92,25,21.79
276,Te Anau,NZ,1/22/22 23:00,-45.4167,167.7167,62.87,54,59,0.89
277,Vostok,RU,1/22/22 23:00,46.4856,135.8833,-18.22,99,65,4
278,Turbat,PK,1/22/22 23:00,26.0023,63.044,50.85,30,0,11.03
279,Mariental,NA,1/22/22 23:00,-24.6333,17.9667,81.19,28,84,13.51
280,Ubinskoye,RU,1/22/22 23:00,55.3068,79.6802,-8.97,100,66,2.59
281,Torbay,CA,1/22/22 23:00,47.6666,-52.7314,20.39,86,69,8.01
282,Soyo,AO,1/22/22 23:00,-6.1349,12.3689,76.55,85,45,6.2
283,Serenje,ZM,1/22/22 23:00,-13.2325,30.2352,57.49,97,20,4.18
284,Callaway,US,1/22/22 23:00,30.153,-85.5699,43.92,61,0,9.31
285,Wawa,NG,1/22/22 22:56,9.9022,4.4192,77.97,21,1,9.6
286,Turayf,SA,1/22/22 23:00,31.6725,38.6637,39.92,47,5,6.38
287,Sao Geraldo Do Araguaia,BR,1/22/22 23:00,-6.4006,-48.555,75.51,92,41,2.82
288,Cabo San Lucas,MX,1/22/22 22:55,22.8909,-109.9124,80.51,46,24,4
289,Erenhot,CN,1/22/22 23:00,43.6475,111.9767,6.13,76,83,9.82
